time_sec,amplitude
0.000000,0.000000
0.000313,0.000000
0.000625,0.000000
0.000937,0.000000
0.001250,0.000000
0.001563,0.000000
0.001875,0.000000
0.002188,0.000000
0.002500,0.000000
0.002812,0.000000
0.003125,0.000000
0.003438,0.000000
0.003750,0.000000
0.004063,0.000000
0.004375,0.000000
0.004687,0.000000
0.005000,0.000000
0.005313,0.000000
0.005625,0.000000
0.005938,0.000000
0.006250,0.000000
0.006562,0.000000
0.006875,0.000000
0.007188,0.000000
0.007500,0.000000
0.007812,0.000000
0.008125,0.000000
0.008438,0.000000
0.008750,0.000000
0.009062,0.000000
0.009375,0.000000
0.009687,0.000000
0.010000,0.000000
0.010313,0.000000
0.010625,0.000000
0.010937,0.000000
0.011250,0.000000
0.011562,0.000000
0.011875,0.000000
0.012188,0.000000
0.012500,0.000000
0.012812,0.000000
0.013125,0.000000
0.013437,0.000000
0.013750,0.000000
0.014063,0.000000
0.014375,0.000000
0.014687,0.000000
0.015000,0.000000
0.015312,0.000000
0.015625,0.000000
0.015938,0.000000
0.016250,0.000000
0.016563,0.000000
0.016875,0.000000
0.017188,0.000000
0.017500,0.000000
0.017812,0.000000
0.018125,0.000000
0.018437,0.000000
0.018750,0.000000
0.019062,0.000000
0.019375,0.000000
0.019688,0.000000
0.020000,0.000000
0.020313,0.000000
0.020625,0.000000
0.020938,0.000000
0.021250,0.000000
0.021562,0.000000
0.021875,0.000000
0.022187,0.000000
0.022500,0.000000
0.022812,0.000000
0.023125,0.000000
0.023438,0.000000
0.023750,0.000000
0.024063,0.000000
0.024375,0.000000
0.024688,0.000000
0.025000,0.000000
0.025313,0.000000
0.025625,0.000000
0.025937,0.000000
0.026250,0.000000
0.026562,0.000000
0.026875,0.000000
0.027187,0.000000
0.027500,0.000000
0.027813,0.000000
0.028125,0.000000
0.028438,0.000000
0.028750,0.000000
0.029063,0.000000
0.029375,0.000000
0.029687,0.000000
0.030000,0.000000
0.030312,0.000000
0.030625,0.000000
0.030937,0.000000
0.031250,0.000000
0.031563,0.000000
0.031875,0.000000
0.032188,0.000000
0.032500,0.000000
0.032813,0.000000
0.033125,0.000000
0.033438,-0.000015
0.033750,0.000015
0.034063,0.000000
0.034375,-0.000015
0.034688,0.000015
0.035000,-0.000015
0.035312,0.000000
0.035625,0.000031
0.035937,-0.000046
0.036250,0.000015
0.036562,0.000015
0.036875,-0.000031
0.037187,0.000031
0.037500,-0.000015
0.037812,-0.000015
0.038125,0.000076
0.038437,-0.000061
0.038750,-0.000031
0.039062,0.000031
0.039375,-0.000107
0.039688,0.000092
0.040000,-0.000046
0.040313,-0.000046
0.040625,0.000122
0.040938,-0.000061
0.041250,0.000000
0.041563,0.000107
0.041875,-0.000046
0.042188,0.000000
0.042500,-0.000015
0.042813,-0.000015
0.043125,0.000000
0.043437,0.000000
0.043750,0.000000
0.044062,0.000015
0.044375,0.000000
0.044687,0.000015
0.045000,0.000015
0.045312,0.000015
0.045625,0.000000
0.045937,-0.000015
0.046250,-0.000015
0.046562,0.000015
0.046875,-0.000015
0.047188,-0.000031
0.047500,0.000000
0.047813,0.000015
0.048125,0.000015
0.048438,0.000015
0.048750,-0.000015
0.049063,0.000031
0.049375,0.000015
0.049688,0.000031
0.050000,0.000061
0.050313,0.000000
0.050625,0.000046
0.050937,0.000031
0.051250,0.000015
0.051562,0.000031
0.051875,-0.000031
0.052187,0.000000
0.052500,0.000000
0.052812,-0.000046
0.053125,-0.000015
0.053437,-0.000015
0.053750,-0.000031
0.054062,-0.000031
0.054375,0.000031
0.054688,-0.000015
0.055000,-0.000046
0.055313,-0.000031
0.055625,-0.000076
0.055938,-0.000031
0.056250,-0.000031
0.056563,-0.000092
0.056875,-0.000046
0.057188,-0.000061
0.057500,0.000000
0.057813,-0.000107
0.058125,-0.000092
0.058438,0.000015
0.058750,-0.000046
0.059062,0.000015
0.059375,-0.000015
0.059687,0.000107
0.060000,-0.000076
0.060312,-0.000046
0.060625,0.000015
0.060937,-0.000031
0.061250,-0.000137
0.061562,0.000031
0.061875,0.000031
0.062187,-0.000076
0.062500,0.000000
0.062812,-0.000107
0.063125,0.000015
0.063437,0.000031
0.063750,-0.000046
0.064062,0.000214
0.064375,0.000061
0.064687,0.000107
0.065000,0.000183
0.065312,-0.000015
0.065625,0.000183
0.065937,0.000259
0.066250,0.000229
0.066562,0.000275
0.066875,0.000168
0.067187,0.000275
0.067500,0.000198
0.067812,0.000290
0.068125,-0.000015
0.068437,0.000092
0.068750,0.000214
0.069062,0.000153
0.069375,0.000076
0.069687,0.000168
0.070000,0.000305
0.070312,0.000244
0.070625,0.000259
0.070938,0.000168
0.071250,0.000076
0.071563,0.000214
0.071875,0.000137
0.072188,0.000092
0.072500,0.000076
0.072813,0.000015
0.073125,-0.000107
0.073438,-0.000061
0.073750,-0.000107
0.074063,-0.000153
0.074375,-0.000259
0.074688,-0.000412
0.075000,-0.000290
0.075313,-0.000534
0.075625,-0.000473
0.075938,-0.000427
0.076250,-0.000565
0.076563,-0.000641
0.076875,-0.000702
0.077188,-0.000641
0.077500,-0.000702
0.077813,-0.000641
0.078125,-0.000687
0.078437,-0.000641
0.078750,-0.000534
0.079062,-0.000809
0.079375,-0.000595
0.079687,-0.000656
0.080000,-0.000534
0.080312,-0.000412
0.080625,-0.000473
0.080937,-0.000244
0.081250,0.000092
0.081562,-0.000305
0.081875,0.000107
0.082187,0.000381
0.082500,-0.000015
0.082812,0.000153
0.083125,0.000443
0.083437,0.000549
0.083750,0.000397
0.084062,0.000214
0.084375,0.000412
0.084687,0.000580
0.085000,0.000732
0.085312,0.000259
0.085625,0.000534
0.085938,0.000824
0.086250,0.000870
0.086563,0.000809
0.086875,0.000763
0.087188,0.000809
0.087500,0.000946
0.087813,0.000931
0.088125,0.000854
0.088438,0.000671
0.088750,0.000885
0.089063,0.001038
0.089375,0.000824
0.089688,0.000870
0.090000,0.000732
0.090313,0.000870
0.090625,0.000809
0.090938,0.000687
0.091250,0.000275
0.091563,0.000809
0.091875,0.000687
0.092188,0.000092
0.092500,0.000122
0.092813,0.001877
0.093125,-0.000458
0.093438,-0.000458
0.093750,-0.000061
0.094062,0.000214
0.094375,-0.000198
0.094687,-0.000275
0.095000,-0.000778
0.095312,-0.001282
0.095625,-0.001236
0.095937,-0.001190
0.096250,-0.001068
0.096562,-0.000748
0.096875,-0.000671
0.097187,-0.000702
0.097500,-0.000992
0.097812,-0.001175
0.098125,-0.001297
0.098437,-0.001511
0.098750,-0.001556
0.099062,-0.001724
0.099375,-0.001633
0.099687,-0.001572
0.100000,-0.001404
0.100312,-0.001312
0.100625,-0.001038
0.100937,-0.001007
0.101250,-0.000809
0.101562,-0.000763
0.101875,-0.000946
0.102188,-0.000931
0.102500,-0.000549
0.102813,-0.000458
0.103125,-0.000198
0.103438,0.000000
0.103750,0.000015
0.104063,-0.000107
0.104375,0.000183
0.104688,0.000366
0.105000,0.000290
0.105313,0.000229
0.105625,0.000641
0.105938,0.000549
0.106250,0.000748
0.106563,0.000778
0.106875,0.000854
0.107188,0.000824
0.107500,0.000977
0.107813,0.000977
0.108125,0.000946
0.108438,0.000763
0.108750,0.000992
0.109063,0.001129
0.109375,0.000732
0.109687,0.001160
0.110000,0.001038
0.110312,0.001038
0.110625,0.001251
0.110937,0.001373
0.111250,0.001328
0.111562,0.001312
0.111875,0.001251
0.112187,0.001144
0.112500,0.001099
0.112812,0.000809
0.113125,0.000854
0.113437,0.000732
0.113750,0.000931
0.114062,0.001053
0.114375,0.000900
0.114687,0.000687
0.115000,0.000565
0.115312,0.000519
0.115625,0.000275
0.115937,0.000153
0.116250,-0.000031
0.116562,-0.000275
0.116875,-0.000244
0.117188,-0.000107
0.117500,-0.000702
0.117813,-0.000412
0.118125,-0.000854
0.118438,-0.000961
0.118750,-0.000961
0.119063,-0.001068
0.119375,-0.001099
0.119688,-0.001144
0.120000,-0.001160
0.120313,-0.001373
0.120625,-0.001541
0.120938,-0.001511
0.121250,-0.001602
0.121563,-0.001495
0.121875,-0.001648
0.122188,-0.001389
0.122500,-0.001328
0.122813,-0.001251
0.123125,-0.001312
0.123438,-0.001465
0.123750,-0.001251
0.124063,-0.001160
0.124375,-0.001144
0.124688,-0.001068
0.125000,-0.001251
0.125312,-0.001083
0.125625,-0.000961
0.125938,-0.000885
0.126250,-0.000793
0.126562,-0.000626
0.126875,-0.000366
0.127188,-0.000320
0.127500,-0.000107
0.127812,0.000229
0.128125,0.000534
0.128438,0.000336
0.128750,0.000473
0.129062,0.000641
0.129375,0.000702
0.129688,0.000702
0.130000,0.000977
0.130312,0.001205
0.130625,0.001297
0.130938,0.001648
0.131250,0.001877
0.131562,0.001953
0.131875,0.002136
0.132188,0.002487
0.132500,0.002304
0.132812,0.002411
0.133125,0.002457
0.133437,0.002441
0.133750,0.002060
0.134063,0.001923
0.134375,0.002075
0.134687,0.001877
0.135000,0.001694
0.135313,0.001358
0.135625,0.001007
0.135937,0.001038
0.136250,0.000458
0.136563,0.000397
0.136875,0.000214
0.137187,0.000107
0.137500,-0.000061
0.137813,-0.000168
0.138125,-0.000290
0.138437,-0.000443
0.138750,-0.000443
0.139063,-0.000366
0.139375,-0.000732
0.139687,-0.000809
0.140000,-0.001190
0.140313,-0.001282
0.140625,-0.001251
0.140937,-0.001541
0.141250,-0.001709
0.141563,-0.001724
0.141875,-0.002014
0.142187,-0.001816
0.142500,-0.002243
0.142813,-0.001984
0.143125,-0.002319
0.143437,-0.002243
0.143750,-0.002228
0.144063,-0.001968
0.144375,-0.002167
0.144687,-0.001984
0.145000,-0.001907
0.145313,-0.001862
0.145625,-0.001556
0.145937,-0.001404
0.146250,-0.001053
0.146563,-0.001038
0.146875,-0.000748
0.147187,-0.000534
0.147500,-0.000519
0.147813,-0.000046
0.148125,0.000275
0.148438,0.000427
0.148750,0.000565
0.149062,0.000748
0.149375,0.000961
0.149688,0.001083
0.150000,0.001114
0.150312,0.001205
0.150625,0.001633
0.150938,0.001526
0.151250,0.001724
0.151562,0.001556
0.151875,0.001740
0.152188,0.001648
0.152500,0.001785
0.152812,0.001678
0.153125,0.001846
0.153438,0.001770
0.153750,0.001694
0.154062,0.001465
0.154375,0.001373
0.154688,0.001282
0.155000,0.001572
0.155312,0.001205
0.155625,0.001221
0.155938,0.001160
0.156250,0.000870
0.156562,0.000763
0.156875,0.000473
0.157188,0.000534
0.157500,0.000061
0.157812,-0.000076
0.158125,-0.000214
0.158438,-0.000366
0.158750,-0.000702
0.159062,-0.000900
0.159375,-0.000824
0.159688,-0.000824
0.160000,-0.000778
0.160312,-0.001068
0.160625,-0.001038
0.160938,-0.000778
0.161250,-0.000916
0.161562,-0.000946
0.161875,-0.000778
0.162188,-0.000671
0.162500,-0.000702
0.162812,-0.000763
0.163125,-0.000900
0.163438,-0.000992
0.163750,-0.000885
0.164062,-0.000931
0.164375,-0.000961
0.164687,-0.000931
0.165000,-0.000916
0.165313,-0.000946
0.165625,-0.000824
0.165937,-0.000839
0.166250,-0.000854
0.166563,-0.000473
0.166875,-0.000458
0.167187,-0.000168
0.167500,-0.000336
0.167813,0.000000
0.168125,-0.000244
0.168437,-0.000290
0.168750,-0.000061
0.169063,-0.000198
0.169375,-0.000122
0.169687,0.000122
0.170000,0.000229
0.170313,0.000198
0.170625,0.000504
0.170937,0.000565
0.171250,0.000565
0.171563,0.000519
0.171875,0.000565
0.172187,0.000656
0.172500,0.000565
0.172813,0.000763
0.173125,0.000732
0.173437,0.000656
0.173750,0.000916
0.174063,0.000793
0.174375,0.001022
0.174687,0.001038
0.175000,0.000992
0.175313,0.001068
0.175625,0.001038
0.175937,0.000977
0.176250,0.001053
0.176563,0.000977
0.176875,0.000793
0.177187,0.001022
0.177500,0.001068
0.177813,0.000870
0.178125,0.000641
0.178437,0.000595
0.178750,0.000397
0.179063,0.000183
0.179375,0.000046
0.179688,0.000000
0.180000,-0.000183
0.180312,-0.000366
0.180625,-0.000458
0.180938,-0.000504
0.181250,-0.000702
0.181562,-0.001022
0.181875,-0.000854
0.182188,-0.000900
0.182500,-0.001099
0.182812,-0.000854
0.183125,-0.001083
0.183438,-0.001175
0.183750,-0.001602
0.184062,-0.001724
0.184375,-0.001694
0.184688,-0.001862
0.185000,-0.001694
0.185312,-0.001556
0.185625,-0.001648
0.185938,-0.001434
0.186250,-0.001266
0.186562,-0.001190
0.186875,-0.001205
0.187188,-0.000977
0.187500,-0.000702
0.187812,-0.000504
0.188125,-0.000610
0.188438,-0.000443
0.188750,-0.000275
0.189062,-0.000061
0.189375,0.000000
0.189688,0.000244
0.190000,0.000397
0.190312,0.000519
0.190625,0.000504
0.190938,0.000443
0.191250,0.000443
0.191562,0.000641
0.191875,0.000809
0.192188,0.000977
0.192500,0.000732
0.192812,0.001099
0.193125,0.001144
0.193438,0.001083
0.193750,0.001114
0.194062,0.001266
0.194375,0.001312
0.194688,0.001434
0.195000,0.001450
0.195312,0.001465
0.195625,0.001617
0.195937,0.001556
0.196250,0.001389
0.196563,0.001480
